costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,tic,fyrc,sic,ebitda,revt
A,USD,STD,INDL,C,001004,2023-05-31,AAR CORP,AIR,5,5080,179.3000,1990.6000
A,USD,STD,INDL,C,001045,2023-12-31,AMERICAN AIRLINES GROUP INC,AAL,12,4512,6267.0000,52788.0000
A,USD,STD,INDL,C,001050,2023-12-31,CECO ENVIRONMENTAL CORP,CECO,12,3564,52.6950,544.8450
A,USD,STD,FS,C,001062,2023-11-30,ASA GOLD AND PRECIOUS METALS,ASA,11,6799,,13.0180
A,USD,STD,INDL,C,001062,2023-11-30,ASA GOLD AND PRECIOUS METALS,ASA,11,6799,-1.0790,2.3940
A,USD,STD,INDL,C,001075,2023-12-31,PINNACLE WEST CAPITAL CORP,PNW,12,4911,1618.6830,4695.9910
A,USD,STD,INDL,C,001076,2023-12-31,PROG HOLDINGS INC,PRG,12,6141,1849.3280,2408.2640
A,USD,STD,INDL,C,001078,2023-12-31,ABBOTT LABORATORIES,ABT,12,3845,10036.0000,40109.0000
A,USD,STD,INDL,C,001084,2023-12-31,WORLDS INC,WDDD,12,7370,-0.3170,0.0000
A,CAD,STD,INDL,C,001096,2023-12-31,MORGUARD CORP,MRCBF,12,6510,580.9760,1224.0180
A,USD,STD,INDL,C,001097,2023-12-31,ACMAT CORP  -CL A,ACMTA,12,6351,0.5810,2.1480
A,USD,STD,INDL,C,001104,2023-12-31,ACME UNITED CORP,ACU,12,3420,18.2560,191.5010
A,USD,STD,INDL,C,001117,2023-12-31,BK TECHNOLOGIES CORP,BKTI,12,3663,0.8580,74.0940
A,USD,STD,INDL,C,001119,2023-12-31,ADAMS DIVERSIFIED EQUITY FD,ADX,12,6726,,
I,USD,STD,INDL,C,001121,2023-12-31,ADAMS RESOURCES & ENERGY INC,AE,12,5172,27.6960,2745.2930
A,USD,STD,INDL,C,001161,2023-12-31,ADVANCED MICRO DEVICES,AMD,12,3674,3881.0000,22680.0000
A,USD,STD,INDL,C,001166,2023-12-31,ASM INTERNATIONAL NV,ASMIY,12,3559,917.3590,2911.8460
A,USD,STD,INDL,C,001186,2023-12-31,AGNICO EAGLE MINES LTD,AEM,12,1040,2689.1220,6626.9090
A,USD,STD,INDL,C,001209,2023-09-30,AIR PRODUCTS & CHEMICALS INC,APD,9,2810,4062.7000,12600.0000
A,USD,STD,INDL,C,001210,2023-03-31,AIR T INC,AIRT,3,4513,0.2790,247.3230
A,USD,STD,INDL,C,001224,2023-09-30,SPIRE ALABAMA INC,EGN1,9,4924,189.0000,571.1000
A,USD,STD,INDL,C,001225,2023-12-31,ALABAMA POWER CO,SO1,12,4911,3036.0000,7050.0000
A,USD,STD,INDL,C,001230,2023-12-31,ALASKA AIR GROUP INC,ALK,12,4512,1288.0000,10426.0000
I,USD,STD,INDL,C,001234,2023-12-31,ATRION CORP,ATRI,12,3841,37.6770,169.3260
A,USD,STD,INDL,C,001254,2023-12-31,MATSON INC,MATX,12,4400,478.6000,3094.6000
A,USD,STD,FS,C,001257,2023-12-31,ALEXANDER'S INC,ALX,12,6798,,301.1590
A,USD,STD,INDL,C,001257,2023-12-31,ALEXANDER'S INC,ALX,12,6798,84.5130,224.9620
A,CAD,STD,INDL,C,001262,2023-12-31,ALGOMA CENTRAL CORP,AGMJF,12,4400,140.5810,721.2200
A,CAD,STD,INDL,C,001263,2023-03-31,ALGOMA STEEL GROUP INC,ASTL,12,3312,385.7000,2778.5000
A,USD,STD,INDL,C,001266,2023-09-30,ALICO INC,ALCO,9,0100,-16.6370,39.8460
A,USD,STD,INDL,C,001272,2023-06-30,PETRO USA INC,PBAJ,6,5500,-0.0240,0.0000
A,USD,STD,INDL,C,001300,2023-12-31,HONEYWELL INTERNATIONAL INC,HON,12,9997,8035.0000,36662.0000
A,USD,STD,INDL,C,001327,2023-09-30,SKYWORKS SOLUTIONS INC,SWKS,9,3674,1822.6000,4772.4000
A,USD,STD,INDL,C,001352,2023-12-31,ARROW DOW JONES GLBL YLD ETF,GYLD,12,6722,,
A,USD,STD,INDL,C,001380,2023-12-31,HESS CORP,HES,12,1311,4888.0000,10511.0000
A,USD,STD,INDL,C,001388,2023-12-31,AMERICAN AIRLINES INC,AMR1,12,4512,6238.0000,52784.0000
A,USD,STD,INDL,C,001393,2023-03-31,U-HAUL HOLDING CO,UHAL,3,7510,1936.4970,5864.6910
A,USD,STD,INDL,C,001397,2023-12-31,AMERICAN BILTRITE INC,ABLT,12,2670,1.7910,185.5290
A,USD,STD,INDL,C,001410,2023-10-31,ABM INDUSTRIES INC,ABM,10,7340,474.9000,8096.4000
A,USD,STD,FS,C,001414,2023-12-31,PRIMERICA INC,PRI,12,6311,,2889.8370
A,USD,STD,INDL,C,001414,2023-12-31,PRIMERICA INC,PRI,12,6311,810.4620,2815.6790
A,USD,STD,INDL,C,001417,2023-06-30,INVESCO BOND FUND,VBF,6,6726,,
A,USD,STD,INDL,C,001440,2023-12-31,AMERICAN ELECTRIC POWER CO,AEP,12,4911,6773.6000,18982.3000
A,USD,STD,FS,C,001447,2023-12-31,AMERICAN EXPRESS CO,AXP,12,6141,,67212.0000
A,USD,STD,INDL,C,001447,2023-12-31,AMERICAN EXPRESS CO,AXP,12,6141,14778.0000,67364.0000
A,USD,STD,FS,C,001449,2023-12-31,AFLAC INC,AFL,12,6321,,18936.0000
A,USD,STD,INDL,C,001449,2023-12-31,AFLAC INC,AFL,12,6321,4482.0000,17729.0000
A,USD,STD,FS,C,001487,2023-12-31,AMERICAN INTERNATIONAL GROUP,AIG,12,6331,,48230.0000
A,USD,STD,INDL,C,001487,2023-12-31,AMERICAN INTERNATIONAL GROUP,AIG,12,6331,9253.0000,46682.0000
A,USD,STD,INDL,C,001507,2023-12-31,VANECK EMG MKTS HIGH YLD BD,HYEM,12,6722,,
A,USD,STD,FS,C,001545,2023-12-31,AMERICAN REALTY INVESTORS,ARL,12,6513,,80.5890
A,USD,STD,INDL,C,001545,2023-12-31,AMERICAN REALTY INVESTORS,ARL,12,6513,25.7760,73.8700
A,USD,STD,INDL,C,001559,2023-12-31,AMERICAN SHARED HSPTL SERV,AMS,12,8090,7.4870,21.3250
I,USD,STD,INDL,C,001562,2023-04-30,LOGILITY SPPLY CHAIN SOL INC,LGTY,4,7372,13.8940,123.6590
A,USD,STD,INDL,C,001585,2023-12-31,AMERICAN VANGUARD CORP,AVD,12,2870,46.5730,579.3710
A,USD,STD,INDL,C,001598,2023-12-31,AMETEK INC,AME,12,3823,2045.0950,6596.9500
A,USD,STD,INDL,C,001602,2023-12-31,AMGEN INC,AMGN,12,2836,13787.0000,28190.0000
A,USD,STD,INDL,C,001613,2023-12-31,AMPCO-PITTSBURGH CORP,AP,12,3312,23.6750,422.3400
A,USD,STD,FS,C,001618,2023-04-30,AMREP CORP,AXR,4,6552,,50.5360
A,USD,STD,INDL,C,001618,2023-04-30,AMREP CORP,AXR,4,6552,13.4900,48.6760
A,USD,STD,INDL,C,001632,2023-10-31,ANALOG DEVICES INC,ADI,10,3674,6283.9940,12305.5390
A,USD,STD,INDL,C,001659,2023-12-31,ANDERSONS INC,ANDE,12,5150,382.5090,14750.1120
A,USD,STD,INDL,C,001661,2023-12-31,NABORS INDUSTRIES LTD,NBR,12,1381,888.7060,3005.9810
A,USD,STD,INDL,C,001678,2023-12-31,APA CORP,APA,12,1311,5074.0000,8378.0000
A,USD,STD,INDL,C,001686,2023-02-28,APOGEE ENTERPRISES INC,APOG,2,3442,163.3880,1440.6960
A,USD,STD,INDL,C,001689,2023-12-31,APPALACHIAN POWER,AEP1,12,4911,1102.9000,3720.7000
A,USD,STD,INDL,C,001690,2023-09-30,APPLE INC,AAPL,9,3663,122801.0000,383285.0000
A,USD,STD,INDL,C,001704,2023-10-31,APPLIED MATERIALS INC,AMAT,10,3559,8191.0000,26517.0000
A,USD,STD,INDL,C,001706,2023-08-31,ENERPAC TOOL GROUP CORP,EPAC,8,3533,138.9780,598.2040
A,USD,STD,INDL,C,001718,2023-06-30,ADVANCED OXYGEN TECHNOLOGY,AOXY,6,6512,0.0110,0.0390
A,USD,STD,INDL,C,001722,2023-12-31,ARCHER-DANIELS-MIDLAND CO,ADM,12,2070,5164.0000,93935.0000
A,USD,STD,INDL,C,001742,2023-12-31,ARIZONA PUBLIC SERVICE CO,PNW1,12,4911,1633.8890,4695.9910
A,USD,STD,INDL,C,001743,2023-12-31,ARCBEST CORP,ARCB,12,4213,323.7570,4427.4430
A,USD,STD,INDL,C,001745,2023-12-31,ENTERGY ARKANSAS,ETR1,12,4911,1021.9060,2646.3960
A,USD,STD,INDL,C,001773,2023-12-31,ARROW ELECTRONICS INC,ARW,12,5065,1673.9960,33107.1200
A,USD,STD,INDL,C,001783,2023-11-30,ARTS WAY MFG INC,ARTW,11,3523,2.3360,30.2810
A,CAD,STD,INDL,C,001790,2023-12-31,ASBESTOS CORP LTD,AB.,12,6799,3.2140,5.1330
A,USD,STD,INDL,C,001794,2023-09-30,ASHLAND INC,ASH,9,2820,407.0000,2191.0000
A,USD,STD,INDL,C,001820,2023-01-31,ASTRONOVA INC,ALOT,1,3577,10.0760,142.5270
A,USD,STD,INDL,C,001823,2023-12-31,ASTRONICS CORP,ATRO,12,3640,17.4610,689.2060
A,CAD,STD,INDL,C,001828,2023-12-31,ATCO LTD  -CL I,ACLLF,12,4932,2226.0000,4741.0000
A,USD,STD,INDL,C,001837,2023-12-31,SOUTHERN CO GAS,SO7,12,4924,1609.0000,4702.0000
A,USD,STD,INDL,C,001864,2023-01-31,REX AMERICAN RESOURCES CORP,REX,1,2860,43.7510,855.0000
A,USD,STD,INDL,C,001878,2023-01-31,AUTODESK INC,ADSK,1,7370,1180.0000,5005.0000
A,USD,STD,INDL,C,001891,2023-06-30,AUTOMATIC DATA PROCESSING,ADP,6,7374,5056.7000,18012.2000
A,USD,STD,INDL,C,001913,2023-12-31,AVERY DENNISON CORP,AVY,12,2670,1260.9000,8364.3000
A,USD,STD,INDL,C,001919,2023-06-30,AVNET INC,AVT,6,5065,1303.4510,26536.8810
A,USD,STD,INDL,C,001926,2023-02-28,AZZ INC,AZZ,2,3470,263.5480,1323.6490
A,USD,STD,INDL,C,001932,2023-12-31,BRITISH AMER TOBACCO PLC,BTI,12,2111,16383.6160,34753.0850
A,USD,STD,FS,C,001949,2023-12-31,BRT APARTMENTS CORP,BRT,12,6798,,111.2580
A,USD,STD,INDL,C,001949,2023-12-31,BRT APARTMENTS CORP,BRT,12,6798,,110.6540
A,USD,STD,INDL,C,001968,2023-12-31,BADGER METER INC,BMI,12,3824,140.8860,703.5920
A,USD,STD,INDL,C,001979,2023-12-31,BALCHEM CORP  -CL B,BCPC,12,2860,213.5470,922.4390
A,USD,STD,INDL,C,001988,2023-12-31,BALL CORP,BALL,12,3411,2112.0000,14029.0000
A,USD,STD,FS,C,002002,2023-12-31,POPULAR INC,BPOP,12,6020,,3896.0310
A,USD,STD,INDL,C,002002,2023-12-31,POPULAR INC,BPOP,12,6020,1646.9510,3896.0310
A,USD,STD,FS,C,002005,2023-12-31,BANK OF HAWAII CORP,BOH,12,6020,,972.2840
A,USD,STD,INDL,C,002005,2023-12-31,BANK OF HAWAII CORP,BOH,12,6020,335.6800,972.2840
A,USD,STD,FS,C,002019,2023-12-31,BANK OF NEW YORK MELLON CORP,BK,12,6020,,33174.0000
A,USD,STD,INDL,C,002019,2023-12-31,BANK OF NEW YORK MELLON CORP,BK,12,6020,9746.0000,33805.0000
I,USD,STD,INDL,C,002049,2023-12-31,BARNES GROUP INC,B.2,12,3490,285.2150,1450.8710
A,USD,STD,INDL,C,002052,2023-09-30,BARNWELL INDUSTRIES,BRN,9,1311,2.9160,25.1670
A,USD,STD,INDL,C,002055,2023-12-31,BARRICK MINING CORP,B,12,1040,4623.0000,11397.0000
A,USD,STD,INDL,C,002080,2023-11-30,BASSETT FURNITURE INDS,BSET,11,2511,11.4020,390.1360
A,USD,STD,INDL,C,002086,2023-12-31,BAXTER INTERNATIONAL INC,BAX,12,3841,2976.0000,14813.0000
A,USD,STD,INDL,C,002101,2023-06-30,APPLIED INDUSTRIAL TECH INC,AIT,6,5080,526.2220,4412.7940
A,USD,STD,INDL,C,002109,2023-06-30,SPARX HLDGS GROUP,SHGI,6,3569,-0.0480,0.0000
A,USD,STD,INDL,C,002111,2023-09-30,BECTON DICKINSON & CO,BDX,9,3841,5167.0000,19372.0000
A,USD,STD,INDL,C,002113,2023-08-31,NITCHES INC,NICH,8,2330,-0.4380,0.0040
A,USD,STD,INDL,C,002124,2023-12-31,BEL FUSE INC,BELFB,12,3677,110.6140,639.8130
A,USD,STD,INDL,C,002136,2023-12-31,VERIZON COMMUNICATIONS INC,VZ,12,4812,47256.0000,133974.0000
A,CAD,STD,INDL,C,002137,2023-12-31,BCE INC,BCE,12,4813,10417.0000,24673.0000
A,USD,STD,FS,C,002176,2023-12-31,BERKSHIRE HATHAWAY,BRK.B,12,9997,,438310.0000
A,USD,STD,INDL,C,002176,2023-12-31,BERKSHIRE HATHAWAY,BRK.B,12,9997,134382.0000,436337.0000
A,USD,STD,INDL,C,002184,2023-01-31,BEST BUY CO INC,BBY,1,5731,2860.0000,46298.0000
A,USD,STD,INDL,C,002220,2023-12-31,BIO-RAD LABORATORIES INC,BIO,12,3826,501.1340,2671.2620
A,USD,STD,INDL,C,002240,2023-07-31,NON INVASIVE MONITOR,NIMU,7,9995,-0.1690,0.0000
A,USD,STD,INDL,C,002259,2023-12-31,BLACK HILLS CORP,BKH,12,4923,729.5000,2331.3000
A,USD,STD,INDL,C,002269,2023-06-30,BLOCK H & R INC,HRB,6,7200,879.1990,3472.1850
A,USD,STD,INDL,C,002270,2023-12-31,VALARIS LIMITED,VAL,12,1381,141.3000,1784.2000
A,USD,STD,INDL,C,002277,2023-10-31,BLUE RIDGE REAL ESTATE CO,BRRE,10,6500,3.1760,11.2900
A,USD,STD,INDL,C,002285,2023-12-31,BOEING CO,BA,12,3721,2269.0000,77794.0000
A,USD,STD,INDL,C,002312,2023-12-31,ROBERT HALF INC,RHI,12,7363,518.8370,6392.5170
A,USD,STD,INDL,C,002352,2023-07-31,BRADY CORP,BRC,7,3990,253.8130,1331.8630
A,USD,STD,FS,C,002369,2023-12-31,BROOKFIELD CORP,BN,12,6200,,103756.0000
A,USD,STD,INDL,C,002369,2023-12-31,BROOKFIELD CORP,BN,12,6200,30045.0000,102425.0000
A,USD,STD,INDL,C,002390,2023-10-31,BRIDGFORD FOODS CORP,BRID,10,2013,11.3480,251.6360
A,USD,STD,INDL,C,002403,2023-12-31,BRISTOL-MYERS SQUIBB CO,BMY,12,2834,18325.0000,45006.0000
A,CAD,STD,INDL,C,002408,2023-12-31,TELUS CORP,TU,12,4812,7037.0000,20005.0000
A,USD,STD,INDL,C,002410,2023-12-31,BP PLC,BP,12,2911,46288.0000,210130.0000
A,USD,STD,INDL,C,002435,2023-04-30,BROWN FORMAN CORP,BF.B,4,2085,1337.0000,4228.0000
A,USD,STD,INDL,C,002436,2023-01-31,CALERES INC,CAL,1,5661,264.9480,2968.1380
A,USD,STD,INDL,C,002444,2023-12-31,BRUNSWICK CORP,BC,12,3510,1074.6000,6401.4000
A,USD,STD,INDL,C,002448,2023-12-31,MATERION CORP,MTRN,12,3330,205.1910,1665.1870
A,USD,STD,INDL,C,002490,2023-12-31,BURLINGTON NORTHERN SANTA FE,BRK3,12,4011,10024.0000,23876.0000
A,USD,STD,INDL,C,002497,2023-12-31,MASTEC INC,MTZ,12,1623,755.1730,11995.9340
A,USD,STD,INDL,C,002504,2023-12-31,UNISYS CORP,UIS,12,7373,178.4000,2015.4000
A,USD,STD,INDL,C,002519,2023-04-30,BUTLER NATIONAL CORP,BUKS,4,8741,14.5520,75.1820
A,CAD,STD,INDL,C,002526,2023-03-31,CAE INC,CAE,3,3690,798.4000,4203.3000
A,USD,STD,INDL,C,002536,2023-03-31,LIVERAMP HOLDINGS INC,RAMP,3,7370,-60.6720,596.5830
A,USD,STD,FS,C,002547,2023-12-31,CIGNA GROUP (THE),CI,12,6324,,195231.0000
A,USD,STD,INDL,C,002547,2023-12-31,CIGNA GROUP (THE),CI,12,6324,12048.0000,195244.0000
A,USD,STD,FS,C,002558,2023-12-31,CNA FINANCIAL CORP,CNA,12,6331,,13378.0000
A,USD,STD,INDL,C,002558,2023-12-31,CNA FINANCIAL CORP,CNA,12,6331,1568.0000,13125.0000
A,USD,STD,INDL,C,002573,2023-09-30,CSP INC,CSPI,9,7373,2.2280,64.6470
A,USD,STD,INDL,C,002574,2023-12-31,CSX CORP,CSX,12,4011,7035.0000,14657.0000
A,USD,STD,INDL,C,002577,2023-12-31,CTS CORP,CTS,12,3670,111.8060,550.4220
A,USD,STD,INDL,C,002578,2023-12-31,TELOS CORP/MD,TLS,12,7373,-31.5360,145.3780
A,USD,STD,INDL,C,002581,2023-12-31,CVD EQUIPMENT CORP,CVV,12,3559,-3.8160,24.1090
A,USD,STD,INDL,C,002593,2023-09-30,CABOT CORP,CBT,9,2890,667.0000,3931.0000
A,USD,STD,INDL,C,002596,2023-06-30,CACI INTL INC  -CL A,CACI,6,7373,709.0640,6702.5460
I,USD,STD,INDL,C,002615,2023-02-28,CALAMP CORP,CAMPQ,2,3663,6.8170,294.9490
A,USD,STD,INDL,C,002628,2023-12-31,CALIFORNIA WATER SERVICE GP,CWT,12,4941,183.1580,794.6320
A,USD,STD,INDL,C,002663,2023-07-31,CAMPBELL'S CO (THE),CPB,7,2030,1756.0000,9357.0000
A,CAD,STD,INDL,C,002675,2023-12-31,MAPLE LEAF FOODS INC,MLFNF,12,2000,317.7010,4867.9280
A,CAD,STD,INDL,C,002696,2023-12-31,CANADIAN NATIONAL RAILWAY CO,CNI,12,4011,8414.0000,16828.0000
A,CAD,STD,INDL,C,002698,2023-12-31,CANADIAN PAC KANSAS CITY LTD,CP,12,4011,6064.0000,12555.0000
A,CAD,STD,INDL,C,002703,2023-12-31,CANADIAN TIRE CORP  -CL A,CDNAF,12,5399,2103.0000,16656.5000
A,USD,STD,INDL,C,002710,2023-02-28,CONSTELLATION BRANDS,STZ,2,2082,3307.2000,9452.6000
A,USD,STD,INDL,C,002721,2023-12-31,CANON INC,CAJPY,12,3577,4356.2350,29661.3210
A,USD,STD,INDL,C,002735,2023-12-31,CAPITAL PROPERTIES INC,CPTP,12,6519,3.3350,5.5250
A,USD,STD,INDL,C,002751,2023-06-30,CARDINAL HEALTH INC,CAH,6,5122,2691.0000,205012.0000
A,USD,STD,INDL,C,002771,2023-12-31,CARLISLE COS INC,CSL,12,2950,1131.4000,4586.9000
A,CAD,STD,INDL,C,002777,2023-12-31,GUNGNIR RESOURCES INC,ASWRF,12,1040,-0.7380,0.0000
A,USD,STD,INDL,C,002783,2023-12-31,PROGRESS ENERGY INC,DUK8,12,4911,5210.0000,13544.0000
A,USD,STD,INDL,C,002787,2023-06-30,CARPENTER TECHNOLOGY CORP,CRS,6,3312,264.1000,2550.3000
A,USD,STD,INDL,C,002807,2023-04-30,CASEYS GENERAL STORES INC,CASY,4,5412,937.1670,15094.4750
A,USD,STD,INDL,C,002817,2023-12-31,CATERPILLAR INC,CAT,12,3531,17358.0000,67060.0000
A,USD,STD,INDL,C,002818,2023-01-31,CATO CORP  -CL A,CATO,1,5621,7.0350,759.2600
A,USD,STD,INDL,C,002820,2023-03-31,CAVCO INDUSTRIES INC,CVCO,3,2452,328.8120,2142.7130
A,USD,STD,INDL,C,002829,2023-10-31,R F INDUSTRIES LTD,RFIL,10,3678,-0.4380,72.1680
A,USD,STD,INDL,C,002884,2023-12-31,LUMEN TECHNOLOGIES INC,LUMN,12,4813,4289.0000,14557.0000
A,USD,STD,INDL,C,002960,2023-12-31,CHEMED CORP,CHE,12,8082,424.4950,2264.4170
A,USD,STD,FS,C,002968,2023-12-31,JPMORGAN CHASE & CO,JPM,12,6020,,236311.0000
A,USD,STD,INDL,C,002968,2023-12-31,JPMORGAN CHASE & CO,JPM,12,6020,94615.0000,236311.0000
A,USD,STD,INDL,C,002986,2023-12-31,CHESAPEAKE UTILITIES CORP,CPK,12,4923,226.6590,670.6040
A,USD,STD,INDL,C,002990,2023-12-31,IMUNON INC,IMNN,12,2836,-20.7830,0.0000
A,USD,STD,INDL,C,002991,2023-12-31,CHEVRON CORP,CVX,12,2911,43555.0000,196913.0000
A,USD,STD,INDL,C,002999,2023-12-31,CHICAGO RIVET & MACHINE CO,CVR,12,3452,-4.5620,31.5080
A,USD,STD,INDL,C,003007,2023-06-30,BRINKER INTL INC,EAT,6,5812,324.1000,4133.2000
A,USD,STD,INDL,C,003026,2023-12-31,CHURCH & DWIGHT INC,CHD,12,2840,1283.7000,5867.9000
A,USD,STD,INDL,C,003028,2023-12-31,CHURCHILL DOWNS INC,CHDN,12,7990,762.4000,2461.7000
A,USD,STD,INDL,C,003039,2023-12-31,DUKE ENERGY OHIO INC,CIN1,12,4931,891.0000,2507.0000
A,USD,STD,INDL,C,003062,2023-05-31,CINTAS CORP,CTAS,5,7200,2059.7050,8815.7690
A,USD,STD,INDL,C,003105,2023-12-31,IHEARTMEDIA INC,IHRT,12,4832,600.6200,3751.0250
A,USD,STD,INDL,C,003107,2023-12-31,CLEVELAND-CLIFFS INC,CLF,12,3310,1792.0000,21996.0000
A,USD,STD,INDL,C,003121,2023-06-30,CLOROX CO/DE,CLX,6,2842,1067.0000,7389.0000
A,USD,STD,INDL,C,003138,2023-12-31,COCA COLA CONSOLIDATED INC,COKE,12,2086,1015.7770,6653.8580
A,USD,STD,INDL,C,003144,2023-12-31,COCA-COLA CO,KO,12,2086,14415.0000,45754.0000
A,USD,STD,INDL,C,003153,2023-12-31,COEUR MINING INC,CDE,12,1040,90.5020,821.2060
A,USD,STD,INDL,C,003158,2023-12-31,COHU INC,COHU,12,3825,99.1410,636.3220
A,USD,STD,INDL,C,003170,2023-12-31,COLGATE-PALMOLIVE CO,CL,12,2844,4673.0000,19457.0000
A,USD,STD,INDL,C,003198,2023-12-31,COLORADO INTERSTATE GAS CO,CGP1,12,4923,212.0000,334.0000
I,USD,STD,INDL,C,003203,2023-08-31,CHASE CORP,CCF,8,2891,97.1030,404.0150
A,USD,STD,FS,C,003221,2023-12-31,AON PLC,AON,12,6411,,13370.0000
A,USD,STD,INDL,C,003221,2023-12-31,AON PLC,AON,12,6411,4193.0000,13376.0000
A,USD,STD,INDL,C,003226,2023-12-31,COMCAST CORP,CMCSA,12,4841,37650.0000,121572.0000
A,USD,STD,FS,C,003231,2023-12-31,COMERICA INC,CMA,12,6020,,5253.0000
A,USD,STD,INDL,C,003231,2023-12-31,COMERICA INC,CMA,12,6020,1976.0000,5253.0000
A,USD,STD,FS,C,003238,2023-12-31,COMMERCE BANCSHARES INC,CBSH,12,6020,,1969.3210
A,USD,STD,INDL,C,003238,2023-12-31,COMMERCE BANCSHARES INC,CBSH,12,6020,893.4680,1969.3210
A,USD,STD,FS,C,003243,2023-12-31,CITIGROUP INC,C,12,6199,,155462.0000
A,USD,STD,INDL,C,003243,2023-12-31,CITIGROUP INC,C,12,6199,59350.0000,155462.0000
A,USD,STD,INDL,C,003246,2023-08-31,COMMERCIAL METALS,CMC,8,3312,1391.4100,8799.5330
A,USD,STD,INDL,C,003278,2023-12-31,AVIS BUDGET GROUP INC,CAR,12,7510,4758.0000,12008.0000
A,USD,STD,INDL,C,003336,2023-03-31,DXC TECHNOLOGY CO,DXC,3,7370,1712.0000,14430.0000
A,USD,STD,INDL,C,003358,2023-07-31,COMTECH TELECOMMUN,CMTL,7,3663,38.6000,549.9940
A,USD,STD,INDL,C,003362,2023-05-31,CONAGRA BRANDS INC,CAG,5,2000,2222.7000,12277.0000
A,USD,STD,INDL,C,003369,2023-06-30,RAVE RESTAURANT GROUP INC,RAVE,6,6794,2.3700,11.8890
A,USD,STD,INDL,C,003382,2023-12-31,SHUTTERSTOCK INC,SSTK,12,7370,195.1990,874.5870
A,USD,STD,INDL,C,003392,2023-12-31,CONNECTICUT LIGHT & POWER CO,NU1,12,4911,1198.3470,4578.8040
A,USD,STD,FS,C,003410,2023-12-31,TRANSCONTINENTAL RLTY INVS,TCI,12,6513,,79.0940
A,USD,STD,INDL,C,003410,2023-12-31,TRANSCONTINENTAL RLTY INVS,TCI,12,6513,21.0880,80.9850
A,USD,STD,INDL,C,003413,2023-12-31,CONSOLIDATED EDISON INC,ED,12,4931,4362.0000,14663.0000
A,USD,STD,INDL,C,003424,2023-12-31,BIGLARI HOLDINGS INC,BH,12,5812,77.6590,365.3180
A,USD,STD,FS,C,003429,2023-12-31,CTO REALTY GROWTH INC,CTO,12,6798,,118.9490
A,USD,STD,INDL,C,003429,2023-12-31,CTO REALTY GROWTH INC,CTO,12,6798,,109.1190
A,USD,STD,INDL,C,003439,2023-12-31,CMS ENERGY CORP,CMS,12,4931,2415.0000,7462.0000
A,USD,STD,INDL,C,003504,2023-10-31,COOPER COS INC (THE),COO,10,3851,1032.3000,3593.2000
A,USD,STD,INDL,C,003505,2023-12-31,MOLSON COORS BEVERAGE CO,TAP,12,2082,2271.7000,11702.1000
A,CAD,STD,INDL,C,003516,2023-06-30,CORBY SPIRIT AND WINE LTD,CBYDF,6,2085,46.5370,162.9550
A,USD,STD,INDL,C,003532,2023-12-31,CORNING INC,GLW,12,3679,2679.0000,12588.0000
A,USD,STD,FS,C,003562,2023-12-31,COUSINS PROPERTIES INC,CUZ,12,6798,,821.2410
A,USD,STD,INDL,C,003562,2023-12-31,COUSINS PROPERTIES INC,CUZ,12,6798,,805.1730
A,USD,STD,INDL,C,003570,2023-07-31,CRACKER BARREL OLD CTRY STOR,CBRL,7,5812,227.5060,3442.8080
A,USD,STD,INDL,C,003580,2023-12-31,CRANE CO,CR,12,3490,360.2000,2086.4000
A,USD,STD,INDL,C,003581,2023-12-31,CRAWFORD & CO,CRD.A,12,6411,112.3330,1316.9190
A,USD,STD,INDL,C,003591,2023-12-31,ONEMAIN FINANCE CORP,AGC1,12,6141,2116.0000,5299.0000
A,USD,STD,FS,C,003592,2023-12-31,ONEMAIN HOLDINGS INC,OMF,12,6141,,5299.0000
A,USD,STD,INDL,C,003592,2023-12-31,ONEMAIN HOLDINGS INC,OMF,12,6141,2142.0000,5299.0000
A,USD,STD,INDL,C,003619,2023-12-31,CROWN HOLDINGS INC,CCK,12,3411,1882.0000,12010.0000
A,USD,STD,INDL,C,003622,2023-03-31,CROWN CRAFTS INC,CRWS,3,2211,8.3420,75.0530
A,USD,STD,FS,C,003643,2023-12-31,CULLEN/FROST BANKERS INC,CFR,12,6020,,2646.2580
A,USD,STD,INDL,C,003643,2023-12-31,CULLEN/FROST BANKERS INC,CFR,12,6020,1018.3290,2646.2580
A,USD,STD,INDL,C,003647,2023-04-30,CULP INC,CULP,4,2211,-19.7630,234.9340
A,USD,STD,INDL,C,003650,2023-12-31,CUMMINS INC,CMI,12,3510,4398.0000,34065.0000
A,USD,STD,INDL,C,003662,2023-12-31,CURTISS-WRIGHT CORP,CW,12,3728,600.7740,2845.3730
A,USD,STD,INDL,C,003691,2023-12-31,GT BIOPHARMA INC,GTBP,12,2834,-13.5760,0.0000
A,USD,STD,INDL,C,003708,2023-12-31,WENDY'S CO,WEN,12,5812,513.2050,2181.5780
A,USD,STD,INDL,C,003734,2023-12-31,DANA INC,DAN,12,3714,754.0000,10555.0000
A,USD,STD,INDL,C,003735,2023-12-31,DANAHER CORP,DHR,12,3826,7463.0000,23890.0000
A,USD,STD,INDL,C,003761,2023-12-31,DATA I/O CORP,DAIO,12,3825,1.0560,28.0640
A,USD,STD,INDL,C,003801,2023-12-31,DAVEY TREE EXPERT CO,7183B,12,0700,165.6810,1693.4810
